LAMMPS data file via write_data, version 7 Dec 2018, timestep = 100

360 atoms
3 atom types
352 bonds
1 bond types

-2.3325636367164886e+01 1.1403594022230177e+01 xlo xhi
-2.4556058000000000e+01 4.0930698000000000e+01 ylo yhi
-1.0126120785429606e+01 8.0076898331775368e+01 zlo zhi

Masses

1 13.019
2 14.027
3 15.035

Pair Coeffs # lj/cut

1 0.09141 3.95
2 0.09141 3.95
3 0.09141 3.95

Bond Coeffs # harmonic

1 260 1.54

Atoms # molecular

11 2 2 -6.3634848332463152e+00 -1.7471824000000002e+01 -4.6235096428862335e+00 0 0 0
12 2 2 -6.7810318134461225e+00 -1.7451044000000000e+01 -3.1426018121780803e+00 0 0 0
13 2 1 -8.1339467052680412e+00 -1.9556058000000000e+01 -3.2432522578149552e+00 0 0 0
14 2 3 -6.9667892385593762e+00 -1.8851616000000000e+01 -2.5278006824598473e+00 0 0 0
10 2 1 -6.2541825732997145e+00 -1.6019302000000000e+01 -5.1261207854296069e+00 0 0 0
15 2 2 -7.1535263563315601e+00 -1.9005388000000000e+01 -1.0077866276507430e+00 0 0 0
17 2 3 -6.0228981451714514e+00 -1.8377832000000001e+01 -1.7309312306978455e-01 0 0 0
18 2 2 -6.1760175104941100e+00 -1.8242761999999999e+01 1.3520496168673144e+00 0 0 0
47 6 3 -7.4362942713407199e+00 -1.7471824000000002e+01 1.7873467671057712e+00 0 0 0
48 6 2 -7.8538412515405271e+00 -1.7451044000000000e+01 3.2682545978139244e+00 0 0 0
49 6 1 -9.2067561433624459e+00 -1.9556058000000000e+01 3.1676041521770495e+00 0 0 0
50 6 3 -8.0395986766537817e+00 -1.8851616000000000e+01 3.8830557275321573e+00 0 0 0
51 6 2 -8.2263357944259639e+00 -1.9005388000000000e+01 5.4030697823412615e+00 0 0 0
53 6 3 -7.0957075832658560e+00 -1.8377832000000001e+01 6.2377632869222204e+00 0 0 0
16 2 1 -4.7107871015810137e+00 -1.9123834000000002e+01 -4.7440337433940821e-01 0 0 0
52 6 1 -5.7835965396754183e+00 -1.9123834000000002e+01 5.9364530356525966e+00 0 0 0
46 6 1 -7.3269920113941200e+00 -1.6019302000000000e+01 1.2847356245623978e+00 0 0 0
31 4 1 -8.6703514243152426e+00 3.2393942000000003e+01 -3.7824052818953152e-02 0 0 0
28 4 1 -6.7905872923469168e+00 3.5930698000000000e+01 -1.9206925804336046e+00 0 0 0
29 4 2 -6.8998895522935175e+00 3.4478176000000005e+01 -1.4180814378902313e+00 0 0 0
30 4 2 -7.3174365324933248e+00 3.4498956000000000e+01 6.2826392817921947e-02 0 0 0
32 4 3 -7.5031939576065785e+00 3.3098384000000003e+01 6.7762752253615499e-01 0 0 0
33 4 2 -7.6899310753787624e+00 3.2944611999999999e+01 2.1976415773452591e+00 0 0 0
35 4 3 -6.5593028642186537e+00 3.3572168000000005e+01 3.0323350819262176e+00 0 0 0
36 4 2 -6.7124222295413123e+00 3.3707238000000004e+01 4.5574778218633165e+00 0 0 0
64 8 1 -7.8633967304413224e+00 3.5930698000000000e+01 4.4901638295583997e+00 0 0 0
65 8 3 -7.9726989903879222e+00 3.4478176000000005e+01 4.9927749721017731e+00 0 0 0
34 4 1 -5.2471918206282160e+00 3.2826166000000001e+01 2.7310248306565938e+00 0 0 0
54 6 2 -7.2488269485885146e+00 -1.8242761999999999e+01 7.7629060268593193e+00 0 0 0
83 10 3 -8.5091037094351254e+00 -1.7471824000000002e+01 8.1982031770977759e+00 0 0 0
84 10 2 -8.9266506896349309e+00 -1.7451044000000000e+01 9.6791110078059290e+00 0 0 0
85 10 1 -1.0279565581456851e+01 -1.9556058000000000e+01 9.5784605621690542e+00 0 0 0
